P_NAME,P_RADIUS,P_PERIOD,S_NAME,S_METALLICITY,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_LUMINOSITY,P_HABITABLE
GJ 876 b,4.191425871296591,61.1166,GJ 876,0.014020760003518647,0.32,0.3,5490.154056235356,0.20842634,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 876 c,4.191425871296591,30.0881,GJ 876,0.014020760003518647,0.32,0.3,5490.154056235356,0.13383342,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 876 d,4.191425871296591,1.93778,GJ 876,0.014020760003518647,0.32,0.3,5490.154056235356,0.02125278,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 876 e,4.191425871296591,124.26,GJ 876,0.014020760003518647,0.32,0.3,5490.154056235356,0.33480563,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 96 b,4.191425871296591,73.94,GJ 96,0.14,0.6,1.5371422191458501,3785.0,0.3191688,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 9827 b,1.58061,1.2089819,GJ 9827,-0.26,0.61,0.6,4340.0,0.0188,1080.6959,1080.6959,1080.6959,0.11443268,0.0
GJ 9827 c,1.24431,3.6480957,GJ 9827,-0.26,0.61,0.6,4340.0,0.03925,747.93283,747.93283,747.93283,0.11443268,0.0
GJ 9827 d,2.0178,6.2014698,GJ 9827,-0.26,0.61,0.6,4340.0,0.05591,626.66823,626.66823,626.66823,0.11443268,0.0
GQ Lup b,33.63,2309.3421610400937,GQ Lup,0.014020760003518647,0.7,1.5371422191458501,5490.154056235356,100.0,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GSC 06214-00210 b,4.191425871296591,2309.3421610400937,GSC 06214-00210,0.014020760003518647,0.9,1.5371422191458501,4200.0,320.0,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GU Psc b,14.18065,2309.3421610400937,GU Psc,0.1,0.33,1.5371422191458501,5490.154056235356,2000.0,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
Gl 378 b,4.191425871296591,3.822,Gl 378,0.06,0.56,0.56,3879.0,0.039669264,643.82288,611.8207,682.57612,0.063612698,0.0
Gl 49 b,4.191425871296591,13.8508,Gl 49,0.13,0.52,0.51,3805.0,0.096462547,394.75053,341.02373,498.84177,0.048848096,0.0
Gl 686 b,4.191425871296591,15.5314,Gl 686,-0.3,0.42,0.42,3663.0,0.091971845,345.4083,332.95544,359.66081,0.028453448,0.0
HAT-P-1 b,14.78599,4.4652998,HAT-P-1,0.13,1.15,1.17,5980.0,0.05561,1209.0235,1209.0235,1209.0235,1.5684299,0.0
HAT-P-11 b,4.36069,4.8878024,HAT-P-11,0.31,0.81,0.68,4780.0,0.053788455,755.69713,686.80073,857.13852,0.21628085,0.0
HAT-P-11 c,4.191425871296591,3407.0,HAT-P-11,0.31,0.81,0.68,4780.0,4.8758801,83.365778,67.566081,135.34367,0.21628085,0.0
HAT-P-12 b,10.75039,3.2130598,HAT-P-12,-0.29,0.73,0.7,4650.0,0.0384,875.09143,875.09143,875.09143,0.20525632,0.0
